player,team,stat_type,prizepicks_line,over_odds_ud,under_odds_ud,dk_odds_over,dk_odds_under,max_edge,suggestion,Actual_HRR,Result
byron buxton,MIN,Hits+Runs+RBIs,2.5,-145.0,107.0,,,0.027,OVER,6.0,HIT
jordan westburg,BAL,Hits+Runs+RBIs,1.5,-141.0,104.0,−145,+110,0.025,OVER,0.0,MISS
javier baez,DET,Hits+Runs+RBIs,1.5,106.0,-145.0,+105,−145,0.025,UNDER,,
dillon dingler,DET,Hits+Runs+RBIs,1.5,107.0,-145.0,+105,−140,0.024,UNDER,0.0,HIT
dylan moore,SEA,Hits+Runs+RBIs,0.5,-141.0,104.0,−140,+105,0.021,OVER,0.0,MISS
jake bauers,MIL,Hits+Runs+RBIs,0.5,-152.0,112.0,−130,−105,0.019,OVER,0.0,MISS
elly de la cruz,CIN,Hits+Runs+RBIs,1.5,-104.0,-130.0,+105,−145,0.013,UNDER,2.0,MISS
tyler soderstrom,ATH,Hits+Runs+RBIs,1.5,101.0,-137.0,+100,−135,0.012,UNDER,0.0,HIT
masyn winn,STL,Hits+Runs+RBIs,1.5,,,+100,−135,0.011,UNDER,3.0,MISS
mike yastrzemski,SF,Hits+Runs+RBIs,1.5,-103.0,-134.0,+100,−135,0.009,UNDER,1.0,HIT
oswald peraza,NYY,Hits+Runs+RBIs,0.5,-134.0,-102.0,−135,+100,0.009,OVER,1.0,HIT
julio rodriguez,SEA,Hits+Runs+RBIs,1.5,-136.0,100.0,−125,−105,0.004,OVER,,
junior caminero,TB,Hits+Runs+RBIs,1.5,-132.0,-103.0,−130,−105,0.003,OVER,9.0,HIT
jung hoo lee,SF,Hits+Runs+RBIs,1.5,-103.0,-132.0,−105,−130,0.003,UNDER,1.0,HIT
edgar quero,CWS,Hits+Runs+RBIs,1.5,-127.0,-107.0,−135,+100,0.003,OVER,5.0,HIT
wenceel perez,DET,Hits+Runs+RBIs,1.5,-104.0,-132.0,−105,−130,0.002,UNDER,,
